CONTENT,CLASS
glad know i am one know katheryns birthday today happy birthday katyand sister seriously birthday,0
kat perry cant sing for shit all i hear it attune,0
i fucking hate her why because she dont write her song she got producer for that second why the back is she in every song almost nude maybe because shes an attention hooker,0
also luckymusiqlive probably could help make big think talent look name internet hit get message,1
check drum cover et thanks gt watchvnopovzoiqamplistuultucdihsdeibyowwuq,1
put famous people in the jungle for an hour and look what happens,0
she kinda let herself go huh,0
we all love you kat perry it,0
sign free tsu start making money social medium addfollow ill add follow url,1
love relate daughter music katy perry roar official url,0
subscribe me and i subscribe you back,1
katy perry roar official soundsofsunday music,0
when i hear kat singing this i cry the song ha got depth,0
love it,0
people who believe in illuminati are stupid the same people believe that wa made by the america government,0
ply subscribe to my channel i need sub and if you do i will sub back i need help,1
please look up dog song this is my playlet with a bunch of amazing song,1
hey i am nerdy peach i am new youtuber would mean absolute world could check lt hope like,1
im pretty sure that tiger just wanted a hug,0
url,1
this song give me strength love her lyric this video really brings the lyric to life im getting known fast because i rap with meaning thumb up if you piss next to the water in the toilet so it quiet,1
url,1
url,1
i love you kat perry because you will sing nice than shaking,0
url,1
facebook account hack url,1
i love kitty perry,0
the perry youre doing a good job good job i love all of their video and by the way can you please describe to my channel please please please please im trying to get a many comment to sunburst light is a cancer and get famous please,1
cover want check thank umichael age,1
everybody please vote kat at ma best song best female best pop best live best look best video please vote kat please please please vote vote vote kat kat kat,1
oh my god roar is the most liked video at veto while month ago wa justice baby congrats kat applause it,0
url,1
url,1
url,1
id rather hear some prop explicit gangsta rap instead of this garbage this song is trash,0
damnnnnnnnn sexy o_o,0
such a good song an kat sound great over the melody im growing a an artist everyday from my hit song crazy which ha got my name out there cant thank my fan more for their support if you could take a moment to check it and my music maybe youll join me to make my dream come true thank you for your time,1
i love you because u make me smile when im sad you cheer me up with your beautiful song it,0
this song is the most boring asinine song i have ever heard coming from a guy who liked teenage dream the song ever since kat perry divorce it wave after wave of shitty but successful song for those of you saying this is the next wave of pop music stick it up your as kat perry is like silly putty,0
katy perry roar official url love song video katy perry rock wahoo grinning_faceface_blowing_a_kiss,0
and somehow she ha access to makeup in the middle of the wood,0
it look so real and my daughter is a big fan and she like a lot of your song,0
i cant comprehend why this video ha nearly view some people found gangway style funny so that explains it high view count but this is just an awful pop song i really have no clue on this one,0
let be honest you wouldnt last day on your own in the jungle stop living n a fairy world,0
segue ha url,1
nature is beautiful no need to place tit in video to impress people,0
this is so stupid if you roared at a lion in real life youd dude,0
song awesomeshe made everything stand viewer could imagine setting video awesome job katy perry,0
kat perry is lion,0
i have figured dislike song supposed power ballad right something that is uplifting motivating end however final chorus extra umph end actually sound like first one instead crescendoing powerful finish roar say wavelength fall flat,0
i like this song the video go perfect with it,0
because i am a championed youre on a hear me roar today i am my own champion today i am a champion for the creator today i am doing positive in my world today i am blessing and healing all around me today i am successful and creating success,0
nowplaying weekendmix track katy perry roar dj denis shmelev amp dj alex serov remix url listen live url,1
kat perry song are the best of the song of woman artist,0
i like this song because of all the animal and i like this song,0
url,1
i love this song so much ive heard it so much i pretty much memorized the lyric,0
hey guy know tend skip comment take look first free fire big room progressive house deep house dubstep amp chillstep producer small town missouri support community really ask critiquing support view music gotten much better month ago promise new content satisfying soon able advertise will not pester guy anymore gim chance check music thanks god bless,1
latest movie please visit site url,1
i love that you subscribed,1
url go register free money,1
great song but we all know that kat buy her view,0
check out man girl it duh shit yo,1
check video youtubefacebook lhudygirlamaya,1
hey you all real kevin hart shout fan follow realkevinheart,1
check out my acoustic channel,1
know someone see heart_suit dream do not greatest video best quality right feel like i am getting anywhere need help could possibly watch video mean world heart_suit please thumb others see appreciate much heart_suit please listen hate honestly appreciate much do not love give year old chance,1
url please open link vote anand niketan international school project name project fredom share friend,1
i hate video like these with those poor animal,0
his couture,0
nice very nice,0
i love this song,0
katy shit go dieroar floooooooooooooooooooop,0
i love your music,0
my the grade teacher looked exactly like kat perry come to think of it,0
curti click url url,1
url please click link,1
come check out our parody of this,1
please subscribe to u and thank you,1
please vote wet seal model contest instagram username destinyforever_ url,1
simply put our customer love u and so will your,1
url,1
almost big what wow g suck in my opinion,0
kitty is the best,0
that wa very good i mean very very much good,0
song mean much thank soooooooooooooooooooooooooooooooooooooooo much xxx,0
it,0
katy perry décio cabelo decio hair year age do not family i am single alone homeless alcoholic age invisible composer dream record song could help please please trust give chance video youtube deciocabelo canal katy perry born october thank much decio hair,1
honestly speaking except tailor swift and abele i dont like any of the modern day singer but i must say whenever i hear this song i feel goosebump it quite inspiring thanks miss perry,0
who is going to reach the billion first kat or tailor,0
a refuel best part,0
weird but funny,0
hey guy i am humanbr br br do not want human want sexy fucking giraffebr br br already money surgery elongate spinal core surgery change skin pigment everything else like post others root dreambr br br i am fucking make music check first song relnofollow classothashtag hrefurl,1
party rocklolwho want shuffle,0
party rock,0
shuffle,0
om,0
this song is just really fun,0
awsomebr,0
wow incredible song,0
i love this song so much,0
like,0
i miss when people dressed like this,0
the last year of decent music,0
best song ever,0
super nice love unique,0
your,0
party rock,0
thumb up if you watched it in,0
increidebl,0
lmfao,0
just super,0
like,0
yeah let start the party,0
awesome song needed year reach mil view tango switch bitch needed year fairrrrrrr,0
nice girl d,0
i remember back when this wa so popular everyone on our school wa shuffling it wa crazy,0
lmfao,0
super awesome video,0
just dance face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy,0
this will always be my favorite longer but my favorite part is a refuel refuel in the video,0
party rocker,0
lmfao party rock anthem ft lauren bennett goo hrefurl br box man got move make meh smile,0
this the best song i ever hirer,0
funny mahogany lmao actually did not know brother uncle part lmfao,0
party rock anthem is love party rock anthem is life,0
stop is a very top,0
ah back when my life didnt suck,0
party rock ad,0
cute,0
lmfao best song ever,0
i fucking love this longer be be after im sexy and i know it,0
they shuffle hard that they made an earthquake in nepal,0
nice,0
still this reminds me of year back when i wa do shuffle everyday,0
love this song make me wan a dance,0
that time in where this shirt wa cool,0
love this video and the song of course,0
check out this video on couture,1
very nice be yeah fucking,0
well this dude faded the fuck out,0
ah good old time,0
old and good song,0
cool,0
not million view anymore,0
good,0
check video youtubebr,1
remember the good ol day when song werent about butt,0
you are the music herosmiling_face_with_hearteyessmiling_face_with_sunglasses,0
i wa born in the wrong generation,0
very good like d,0
the view theyre over,0
love lmfao party rockin keep going,0
best music ever,0
likened,0
cool,0
remember when this song wa good,0
it,0
i want to be that robot guy,0
i love your song,0
om it going to have bi view,0
dance,0
year,0
cool cool cool cool cool cool cool,0
wow i love it,0
who know the name of that girl and that one and that one,0
why did they stop their career in music this music rock,0
very nice,0
why voodoo many down,0
tensionright_arrow_curving_upright_arrow_curving_up,0
be i like video,0
music yeah,0
like this in d,0
this wa such an epic track and the video is awesome,0
likker,0
give it a like,1
let party,0
support the fight for your the amendment right to privacy in your home and business stop the a spying on america with the in patriot act renewal rand pal ha spent hour on the senate floor in a protest and filibuster fighting for our constitution that this nation is founded on join the fight at rand pal dot come spread the word we have someone that care about our nation email your senator congress men and woman tell them to support rand tell the news to support rand too senator rand pal wa up until a refuel am this morning fighting for our constitution,1
mindblowing dance superbbb song,0
anyone else think this video theme is a bit of an insult to day later,0
never get old,0
i remember when this used to be so popular all around at the timer i still love it,0
strong message in every song ive heard,0
fucking year are fucking past so fucking fast fuck,0
i know it old song but like if you watching in,0
im watching this on summer,0
i am going to blow my mind,0
and im shuffling still today d,0
this is my favorite song ever love this party rock it everybody,0
view,0
let get it to billion,0
love this soooooooooooooooooooooooooooooooooooooooooooooooooo much,0
im a subscriber,1
this song is awesome,0
best song ever made i swear d i still hear even doe it old who else,0
i came here because of vanish,0
best song everpurple_heartpurple_heartcrying_facebr,0
epic,0
i like so much this music good,0
beautiful song,0
why do i feel like a if gangway style copied their song from this,0
damn this wa everywhere,0
party time,0
never get old,0
this song is fun king awesome,0
how do you put a picture for your image thingies,1
okay this should cover me for some time thumb up if youre watching while couture still exists,1
this song is just insaner do you dance listening to this song i do lot,0
,0
thumb shrek gay thumbs_up,1
thumb up for rob guy baby,0
seriously how did they come up with that beat it is insanely good holy fuck,0
best party song literally party rock is in the house tonight,0
memory,0
lovee heart_suit,0
more view than nick mina anaconda,0
lmfao best,0
else saw jesses dancing sorry spelled wrong peacevictory_hand,0
i like how the robot shuffle he shuffle good,0
you cant stop the shuffle,0
dang at little kid gat move,0
miss song crying_face,0
love it,0
check video youtubebr got ta dance blast every time hear song love itbr,1
man this song really doe get in your bone one minute im nearly dosing off to sleep the next im shuffling like crazy with hot foot ad,0
that shake and that golden and black robot were really partying,0
take a look at this video on couture,1
cooooooooooooolllllllllll,0
wow,0
oh shit this wa uploaded on my birthday finally my birthday isnt a curse because on this day malaysia airline went missing so i thought my birthday wa a curse ad,0
everyday im shuffling,0
thumb fefefefefegelein brought,1
every day im shuffling,0
cool song ever good thing it here,0
why doe the world not shuffle,0
love these guy love the song,0
it funny because i listen to rock and death metal but i like this,0
shuffling way lmfao like one wish could shuffle like crazy dude,0
the most viewed video i guess,0
my favorite song,0
i like this longer,0
wow dance show,0
awesome,0
like if ur watching in,1
good time,0
laughing my fucking as off,0
when i see this back in i ask myself how people got to like this song seems like gangway style copied this style though might just be me but yea,0
wait i saw a kid not kidding,0
party rock due and duel,0
fucking love it om v,0
this very good so i dance with some companion front of the whole school,0
could finally spongebob started yesterday xd,0
thumb up if youre watching in,0
i love it,0
lmfao party rock anthem ft lauren bennett goonrock,0
i hate it when aura bennet come in,0
subscribe to my channel,1
party in a house tonight open_handsopen_handsopen_handsopen_handsopen_handsopen_hands,0
best for partying,0
om,0
whats with the guy jacket sleeve and a sleeveless arm,0
best song ever,0
take look video youtubbr,1
i like this step,0
let get this video to one billion view,0
in my head this is like year ago time fly,0
view comment my manta,0
still shuffling songmusical_notesmusical_noteheadphone,0
who of is laurel bennet,0
so cool,0
awesome,0
this is so cool why havent i heard this before,0
ad i wa going crazy fucking crazy watching this bra,0
i shuffled while listening to this song the illness is spreading,0
way wa their a guy warring a robot head,0
like the song,0
almost billion view nice,0
sorry to all my hater be be be be be be be be be be be be for party rock en,0
i like it,0
gooooood,0
,0
likeeeeeeeee,0
shuffle,0
lot so funny love it,0
good party,0
do not like this comment if you are not watching in,1
check out this playlet on couture,1
share your thought,1
subscribe plzzzzzzz plzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1
youtube collaborator anyone subscribe ill subscribe back also start uploading youtube video relnofollow classothashtag hrefurl,1
guy lmfaois going reunion june expo idaho garden going performe live there is going press conference answer question live channel got publishing right subscribe channel watch whole thing do not believe look hope see true fan yes free,1
iiiiiiiiiii love shake song oh sorry every shake song like watch subscribe never unlike brooooo shake,1
check playlist youtubem,1
check video youtubebr br br br,1
who watching in subscribe for me,1
come subscribe,1
subscribe my channel please lot pro play,1
i just wan a see how many people like this comment ill give it a month or so,1
please dont like this comment if you are watching in,1
i like this comment and do not kill p,1
check video youtubefb,1
all school drop out i knew a friend before they decided to drop school think there is no need for an id card or a certification to prove you are an educated clean in criminal record talented person to work in any entertainment field worldwide they think they could be rich entertainer by consolidating with actor actress a well a singer for a share of profit,1
check out this video on couture,1
check playlist youtubeיbr br br br tentpost_officetenttent,1
check playlist youtubebr br,1
view br br best youtube videobr subscribe channel pleasebr thank ltbr br melhor vídeo youtubebr se inscreva meu canal por favorbr obrigado ltbr br mejor video youtubebr si suscriba mi canal por favorbr gracias ltbr br meilleur vidéo youtubebr si vous abonner à chaîne se il vous plaîtbr merci lt,1
we can have a party next share,1
lot check out my channel and subscribe please i want sub thats it im nearly their now,1
subscribe me if you do that leave your name so i can sub back,1
please subscribe channelthanks,1
hey guy im year old remixed and producer and i want you guy to help me checking my video i am sure you will love those music if you love them then subscribe so you will know more about me,1
check melbourne shuffle everybody,1
subscribe my channel,1
please subscribe i am bored of subscriber try to get it to,1
subscribe if you are watching in,1
check out this video on couture be,1
hey subscribe peace world heart_suit,1
check playlist youtubea,1
like this comment for no reason,1
om can this be the first video on couture to hit billion view like this comment of you agree,1
be please help me get subscriber by the end of the night thx,1
like this comment if youre watching this video when big bang happened i do,1
check out this playlet on youtubefork_and_knifefork_and_knifeperson_surfingperson_surfingperson_surfingfork_and_knifeperson_surfingperson_surfingperson_surfingperson_surfingperson_swimmingperson_swimmingperson_swimmingperson_swimmingfork_and_knifefork_and_knifefork_and_knifefork_and_knifefork_and_knifesnowboardersnowboardersnowboardersnowboardersnowboardertrophycocktail_glasscocktail_glasscocktail_glasscocktail_glasstrophyclinking_beer_mugspoultry_legteacup_without_handlefrench_friesfrench_friesfrench_friesfrench_friesfork_and_knifepizzapizzapizzapizzapizzapizzapizzapizzapizzapizzapizzapizzahot_beveragefishing_polefishing_polehot_beveragepizzapizzafishing_polefishing_polefishing_polefishing_polefishing_polefishing_polefishing_polefishing_polefishing_polefishing_polehot_beveragefishing_polepizzahamburgerhamburgerfishing_polefishing_polehot_beveragefishing_poletropical_drinktropical_drinksnowboardersnowboardertropical_drinkskistrophy,1
br br br br __ br br spooked spookinatibr br share people unspooked br br br br br br br br,1
like this comment if your watching in or,1
help me get subscriber by tomorrow be be be be be be be be be be joking dont get butt hurt,1
like this comment if ur watching this on,1
like this comment please,1
like and subscribe,1
like this comment if you are watching on a phone,1
cool video lmfaovevo check shuffling video channel get chance much appreciated cheer relnofollow classothashtag hrefurl,1
check out this playlet on couture i tried,1
subscribe span classproflinkwrapperspan classproflinkprefixspana classproflink hrefurl oidsupermariologanaspan thot robot dude r epic awsome,1
watching subscribe span classproflinkwrapperspan classproflinkprefixspana classproflink hrefurl oidsupermariologanaspan,1
like this comment if you still jam out to this song after year,1
subscribe,1
this video ha m view and the channel got m subscriber,1
subscribe to my channel,1
lot invite a subscriber a mi canal,1
check video youtubeopponents mm br br br br br,1
check video youtubebr br,1
at subscriber im sky diving help me reach my goal later trust me im a doctor,1
a refuel,1
need money check my channel and subscribe soon will post how to get it,1
like this comment for no reason,1
youtube comment nut shellbr br firstbr clubbr skip hrefurl close eyesbr advertisementsbr like comment reasonbr christianity arguementsbr religious arguementsbr console warsbr pcmasteracebr trollsbr quothow million view video there is online people earthbr complaintsbr pewdiepie fangirlsbr minecraft scrubsbr rmontageparodiesbr br br shit,1
please become my first subscriber thank you,1
get view subscriber reason grinning_face_with_sweat,1
hello from russia come to the channel subscribe,1
check dance video will not disappointed relnofollow classothashtag hrefurl,1
men stop being naive idiot believing in love and believing that woman actually respect you want a more fulfilling drama fee life check out grow there are many channel here on couture that you can chose from which will give you all the information needed caution not for men who enjoy being disposable provider of utility,1
plea subscribe p game video br i______________________________ibr som tip contact kik skypebr i______________________________ibr kik panderbr skype sandernicolaysenbr i______________________ibr plea subscribe kashoo gaming,1
check out this playlet on youtubeangry_face_with_hornsperson_wearing_turbanperson_wearing_turbanperson_wearing_turbanperson_wearing_turbanperson_wearing_turban,1
check video youtubeالإعلاناتbr br br br br br لل,1
police_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightbr attention police_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightsubscribe channelbr police_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightbr graciaskiss_markbr police_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_lightpolice_car_light,1
a refuel,1
check playlist youtubehbbhhhgh,1
like and subscribe if you watch in,1
check video youtubehjalp,1
check video youtubeqq,1
a refuel can you please donate to help my pinball please i just need dollar to take it to the vet,1
dear friend please subscribe channel glad see virucide,1
subscribe channel br tweet amp follow twitter therealterrell_ br follow back eye,1
want a sub tell me about your channel and i will subscribe with a couple exception,1
subscribe ill subscribe back,1
check playlist youtubepl,1
check video youtubelo,1
check out this video on couture,1
check out this video on couture i,1
subscribe to my channel yo do feel,1
hey guy subscribe to my channel and i will subscribe back and like all your kid be be,1
white people going extinct information subscribe channel search video quotwhite genocidequot thank,1
check video youtuberainbowrainbowrainbow,1
subscriber please,1
yo like song fricking beast anywon herd see mee rollin woke new buggti check nuketown rap shooting see nice quick scoping thing training faze adoult freind sang freinds house rap going fun thing,1
hi everyone this is cool check out sexy and i know it,1
check app solve partydrunk problem br hrefurl,1
check video youtubeit old track still bad,1
check youtube channel cool beatboxing,1
hi everyone do you like music then why not check out my music channel the lexis band will be uploading their own song and cover soon so dont miss out please subscribe too a it doe help u out a lot just take one click it,1
subscribe,1
mom i just hit k subscriber i make mineshaft video help me out by checking me out,1
sup u this is a video for people who love party rock so thanks for watching and please subscribe,1
hey guy layman here and i just wanted everybody to know if yall can subscribe please that would be great this is my new gaming channel have not uploaded debut i will upload if i hit about sub thank you d,1
great l subscribe,1
check video youtubejjiwajwkajajqjaubkm,1
m subscriber but look at the view it million to p,1
check out my couture channel i can rap,1
check out this video on youth,1
lmfao crazy dope check music channel minute would mean lot much love,1
everyday im subscribe,1
man check out the rap on my channel im better rapper than these nigger fool,1
go check out our video,1
cat_with_wry_smilethumbs_upsmirking_face like comment smirking_facethumbs_upcat_with_wry_smile,1
subscribe,1
check video youtubebr looking wood pilebr anyone seen hmmbr bout pie br lady,1
hahaa dance tighttttbr br know you all quotaint got time demo manquot check stuffbr br slapper slapper banger click link peep game enjoy br br hrefurl,1
check out my music night,1
check funny video quotcereal box knock babyquot channel,1
subscribe think quotswagquot fucking stupid,1
auto to subscribe to my channel because you should sign up for l please thank you id do anything for you to sign up a lot of good video i usually do,1
abomination subscribe if you agree party here in my channel cool light,1
like this comment guy i just started up a new channel if i can get subscriber by tonight ill do a papal giveaway like this comment so your friend can see it or others and they can also be entered go,1
check out my hood doh by flitter nosiness,1
nezo edbr likeampshare page facebook please,1
hey i am british youtuberbr upload weekly br would mean world could subscribebr thanks joycebr,1
subscribe to my channel,1
hi guy please check out my kid i will promos to subscribe to you to,1
hey ply check out my music video thanks,1
check the shit out on my channel be be subscribe you will like it,1
good video,0
very good song,0
every bad just have a good time,0
people like shit hahahahah pbr is not even real music computerbased musicbr well done music industry,0
i love this song so much,0
one make wan na party like lmfao wan na rage every time one song come band quoton rock incquot kid know party,0
the best song ever,0
check it out free stuff for watching video and filling survey be a refuel,1
love your song make me happy,0
ooooo shuffllllllllllllllllllllllinnnnn,0
i learned the shuffle because of them,0
the best song i saw red_heartred_heartred_heartred_heartred_heartred_heartred_heartred_heartsmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyesface_blowing_a_kissface_blowing_a_kissface_blowing_a_kissface_blowing_a_kissface_blowing_a_kissface_blowing_a_kissface_blowing_a_kissface_blowing_a_kiss,0
watch this with sound off,0
looooooooove song,0
everyone please subscribe to my channel or can you all just go look at my video,1
everyone please go subscribe to my channel or just loon at my video,1
love this song,0
this song is awesome these guy are the best love this video too it hilarious lot im getting popular fast because i rap with meaning thumb up if you piss next to the water in the toilet so it doesnt make noise,1
how many thumb up for louis saving the day,1
nice,0
lovely girl talk to me six,1
i always end up coming back to this longer,0
sister received new relnofollow classothashtag hrefurl youtube view right thing used pimpmyviews com,1
hello am from palatine,1
wow this video almost ha a billion view didnt know it wa so popular,0
go check rapping video called four wheel please red_heart,1
almost billion,0
slam yum from pakistan,1
eminem idol people españa mexico latinoamerica,0
help me get sub please,1
i love song,0
alright lady if you like this song then check out john rage he a smoking hot rapper coming into the game he not better than mine lyrically but he hotter hear some of his song on my channel,1
the perfect example of abuse from husband and the thing is im a feminist so i definitely agree with this song and wellie i see this someone going to die just saying,0
the boyfriend wa charlie from the to show lost,0
a refuel,1
check out our channel for nice beat,1
rihanna eminem together unstoppable,0
this song is about rape and cheating be be be be be be be be be be basically,0
like please,1
i love this song cant believe it wa year ago it doesnt get old though,0
om that look just like a piece of the mirror of harry potter and the deathly hallower either that house serious black,0
shared first song quoti want youquot hope you will like take listenvictory_handsmiling_face_with_smiling_eyes hrefurl,1
come and check out my music spamming on load of video but it just to try and get my music across to new people,1
huh yuck yuck im special who watching this in im from australia or something give me attention please im just a rapper with a dream im on a share this on googly plus because im so cool,1
you exactly who u want to be watching your favorite rapper on to,0
rihanna absolutely gorgeous video,0
check video youtubebr br love song good never go back ill always remember passion never want go back dysfunctional insanity goal live happy live insane,1
dont love someone so much love the way u lie,0
one of the best song in music history,0
not hate the way u lie,0
fuck mine bibber is the best it,0
check playlist youtubechcfcvzfzfbvzdr,1
check out this playlet on couture,1
i am gon na share little ryhme canibus blow eminem away quadrillion time especially category intelligent thing mind learned rapped forgot eminem spit first rymeluv ya linz e,1
check video youtubebr br br,1
check out the new remix be click click,1
i personally have never been in a abusive relationship i probably never will i dont hit woman mom ha my dad used to hit my mom before he left i can relate im writing about one at the moment subscribe to hear it every fan count,1
loveface_blowing_a_kissred_heartsparkling_heart,0
hah i cant believe how many kid listen to mine you kid know that he doe drug and end high in jail i wonder why he never ended od,0
please subscribe to me,1
aye homies check out our remix to cent your life is on the line we just started our couture channel and we are all way working hard give u some feed back on our latest song on what you guy think if you like show support,1
this is the and most best song when im gone by camp,0
we go for for mine,0
eminem rihanna sing song well,0
subscribe me secret video d,1
check video youtubebut i am rhinnah,1
subscribe to me for clean mine,1
hey youtubers really appreciate took time read year old boy want successful musician music world do not money advertise channel could visit channel comment video subscribe would great second life thank people gave chance l really appreciate,1
love the way you lie quit,0
this guy win dollar sleeping m m m he love the planet it full of retard,1
check out our cover of this song,1
got,0
but im still listening to this,0
how is this the most watched mine video it beat not afraid,0
check out my channel for funny skit thanks,1
hahahahah heart_suitheart_suitheart_suitheart_suit like vine subscribe daily vine,1
please read this please i am a country singer who is trying to become someone so if you would like my video please just type boy round here by country girl only on computer wasting all these tear et please subscribe and like,1
guy share this video he must have view share on casebook group page,1
check out mine rap god lyric video,1
love this song,0
rehang love me,0
like this comment then type,1
is that charlie from lost,0
who the fuck cheat on mean fox,0
that is mean fox,0
i love music,0
red_heartred_heartred_heartred_heartred_heartred_heartred_heart,0
hot hot,0
wow just bibber is better thats why when he buy medication he always share with his half waited money altered but sadly enough he is an attention hog with swamp as and an eating disorder filled with sassy mouse and flaming hot cheer that he can eat with the power of the samurai,1
this fucking song like an ore the only white part is the good,0
no where near one of mine actual best song real fan know what im talking about untitled cold wind blow welcome hell elevator business wop almost famous to life rock bottom no apology same song and dance without me way i am toy soldier mosh and insane it song off the top of my head thats better,0
finally someone share the same opinion a me ive tried really hard to like gangway style but i just cant i dont even get the dance either a song like this should be more popular than gangway style at least it make sense,1
check out the new hot video by dance b called riled up,1
still listening still same pleasure,0
facebook password hack facebookpasshackblogspotcom working software hacking facebook password free download break password minute virus free detail free download please visit facebookpasshackblogspotcom,1
love youred_heartsparkles,0
the time past so fast,0
hey everyone im dada below im a year old singer rapper and producer ive gained over view so far but i really need more view like and subscriber in order to make it check out my brand new music video for my song so gone also check out my new song called deaf a few moment of your time would be greatly appreciated and you wont regret it please thumb this up so more people can see it thanks for the support,1
fuck yeah,0
mine is a genius stop,0
rap cool rihanna sttuupid,0
just on a stand there and hear me cry,0
love,0
feel and emotion in this snogged damn,0
all u should go check out j rant i about mine,1
mean fox and mine together in a video doesnt get better than that,0
check video youtube relnofollow classothashtag hrefurl relnofollow classothashtag hrefurl relnofollow classothashtag hrefurl relnofollow classothashtag hrefurl,1
yo know nobody probably even read i am gon na type way hope least one person i am rapper dream know there is like k world please check music subscribe want thanks would love nothing decent following youtube anyone reading could press quotthumbs upquot people see simple button press could make dream come true thank,1
best song,0
subscribe to my feed,1
everyone go share youtu bearkglzjqup fb twitter g vote eminem become artist year first ever youtube music award get method cheat internet roulette eminems video shady artist year,1
check em dope new song monster watchvwgkmxnym mmlp ftw,1
check out my sexy video,1
is that charlie from lost,0
anyone else notice that mean fox is in this video,0
need instagram follower photo like check igblastcom get minute,1
yo know nobody probably even read i am going to type way hope least one person i am rapper dream know there is like k world please check music subscribe want thanks would love nothing decent following youtube anyone reading could press quotthumbs upquot people see simple button press could make dream come true thank,1
youtubecomwatchvasfnshghkampfeatureyoutube please check song looking feedback supporter,1
watch my video and subscribe,1
d subscribe to me for daily vine,1
love it,0
hay data u earned a subscribe,1
listencheck andrew guasch crazy sick flowim dopethats like subscribe ill aftermath tde soon enough one love peace,1
i hate rap and i like this song,0
love the way you lie driveshaft,0
,0
view near,0
guy check extraordinary website called firepacom make money online start working home today making per month firepacom visit firepacom check lake chillpal sturdy astauand johackle chorenn ethosien changeable public noxu ploosnar looplab hoppler delicious false scitenoa locobot heartbreaking thirsty reminiscent,1
this song is nice,0
guy check extraordinary website called firepacom make money online start working home today making per month firepacom visit firepacom check lake busyglide sasaroo sore chillpal axiomatic naperone mere undesirable agreeable encouraging imperfect roasted insidious modgone quickest trelod keen fresh economic bocilile,1
sick music for sick female,0
guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check lake victorious luxuriant alcoholic responsible unbiased yoffa ociramma ociramma handsome arrowgance mizuxe boaconic sophisticated illfated spourmo chubby hioffpo probable singlewave,1
love top fort vote clip,0
guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check lake waratel misty exciting swoquix acaer chillpal tupacase arrowgance lively hard idiotic bored cool ablaze crabby aloidia cheilith feandra useless ploosnar,1
guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check lake ignorant wavefire reiltas astauand skizzle jovaphile swooflia grynn excellent slimy gabby nalpure lucky glozzom depressed better deep sinpad stereotyped toximble,1
mine et rehang top belle chanson,0
this song is better then monster by mine,0
he is good boyar i am mean i like to mine,0
it is wonderful,0
guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check lake magnificent noodile unequaled moderock gogopo lulerain olielle zesty laughable accidental pepelexa delightful wiry toogit uncovered chesture woozy adhoc weak shallow,1
share mine artist of the year video so he can win we could see a performance and acceptance speech like this comment so everyone can see year of mine,1
watchvarkglzjqup like comment share video win ytma,1
check video youtubebr br eminem amazing,1
awesome song ever,0
love,0
long paragraph check song called quotfirequot,1
check video youtube hrefurl eminem ft rihanna love way lie,1
do you guy know there a part two of this song d,0
guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check memory ferirama besloor shame eggmode wazzasoft sasaroo reiltas moderock plifal shorogyt value scale qerrassa qiameth mogotrevo hoppler parede yboiveth drirathiel,1
hey it charlie from lost,0
guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check wazzasoft industry sertave wind tendency order humor unelind operation feandra chorenn oleald claster nation industry roll fuffapster competition ociramma quality,1
i guy this song is one of my worst fear in life to be with someone who abusive towered me and live with him,0
watch youtube video quoteminem ytma artist yearquot plz share vote,1
made five year ago and people still dont understand the message this song is conveying for those of you who dont understand that domestic violence is no game woman like the fictional one in this video do exist living their life with a man who abuse her but still chooses to stay for not the love but for the sexual feeling he give her this is quite sad actually,0
year and i still dont get the music video help someone,0
please check out my new song music video ad dont play,1
tell u the title so i can like and subscribe your music few please,1
this video is kinda close to million view be,0
fuck you mine,0
guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check metal drew reflective effect expansion intervene hilarious bit sneeze witness smoke,1
